testName	seed	initInt	finalInt	nCircles	rStart	rEnd	biasType	biasSigma	ampType	ampParam1	ampParam2	growRate	brightStep	ROIspacing	inSmall	inLarge	onBound	outAll	isNegative
ROI‐Spacing	4300	1544.83	27756.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	5	0	15	0
ROI‐Spacing	6251	1351.18	1124.78	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	7	3	13	1
ROI‐Spacing	6252	1580.02	51018.3	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	7	11	4	9	0
ROI‐Spacing	6253	2582.32	31622.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	6	0	14	0
ROI‐Spacing	6254	741.122	-18753.3	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	8	3	12	1
ROI‐Spacing	6255	-165.729	-49183.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	6	3	14	1
ROI‐Spacing	6256	318.868	2764.98	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	8	3	12	0
ROI‐Spacing	6257	994.373	-4327.63	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	4	1	16	1
ROI‐Spacing	6258	2190.51	16092.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	6	2	14	0
ROI‐Spacing	6259	2188.78	38645.7	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	6	1	14	0
ROI‐Spacing	6260	1517.71	46535.1	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	8	11	3	9	0
ROI‐Spacing	6261	2120.66	13479.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	8	3	12	0
ROI‐Spacing	6262	2303.48	-17797.8	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	7	2	13	1
ROI‐Spacing	6263	1991.54	23621.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	9	2	11	0
ROI‐Spacing	6264	-2819.92	-41977.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	8	4	12	1
ROI‐Spacing	6265	1555.84	22163.7	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	5	2	15	0
ROI‐Spacing	6266	-3169.55	-64017	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	8	4	12	1
ROI‐Spacing	6267	1099.31	41892.7	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	8	5	12	0
ROI‐Spacing	6268	450.047	16845.5	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	5	1	15	0
ROI‐Spacing	6269	42.0815	3475.65	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	7	3	13	0
ROI‐Spacing	6270	-224.426	7304.68	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	9	3	11	0
ROI‐Spacing	6271	785.036	5564.63	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	9	6	11	0
ROI‐Spacing	6272	1665.51	10041.7	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	7	3	13	0
ROI‐Spacing	6273	289.993	-34314.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	5	2	15	1
ROI‐Spacing	6274	-102.859	-3626.56	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	6	3	14	1
ROI‐Spacing	6275	1507.73	-26969.3	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	7	2	13	1
ROI‐Spacing	6276	488.547	37071.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	8	10	2	10	0
ROI‐Spacing	6277	-1029.62	-36160.1	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	5	2	15	1
ROI‐Spacing	6278	433.882	22341.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	7	3	13	0
ROI‐Spacing	6279	1565.01	48309	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	9	10	1	10	0
ROI‐Spacing	6280	1630.3	804.936	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	6	3	14	1
ROI‐Spacing	6281	-532.351	10865.7	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	7	3	13	0
ROI‐Spacing	6282	949.045	-24264.4	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	5	1	15	1
ROI‐Spacing	6283	316.827	-21320.5	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	9	4	11	1
ROI‐Spacing	6284	1577.63	39977.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	7	1	13	0
ROI‐Spacing	6285	552.371	-4424.27	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	5	3	15	1
ROI‐Spacing	6286	99.7842	-24205.3	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	8	3	12	1
ROI‐Spacing	6287	1896.1	12931.7	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	8	9	2	11	0
ROI‐Spacing	6288	-1181.15	-59651.7	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	2	6	5	14	1
ROI‐Spacing	6289	630.85	2687.06	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	7	1	13	0
ROI‐Spacing	6290	2531.29	13442	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	7	1	13	0
ROI‐Spacing	6291	701.625	-12928.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	6	2	14	1
ROI‐Spacing	6292	-741.977	-44187.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	10	5	10	1
ROI‐Spacing	6293	1524.58	9871.97	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	2	4	2	16	0
ROI‐Spacing	6294	2183.45	56077.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	8	9	2	11	0
ROI‐Spacing	6295	-876.649	-42699.1	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	2	4	3	16	1
ROI‐Spacing	6296	820.141	-19560.5	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	1
ROI‐Spacing	6297	5.28774	25147.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	5	2	15	0
ROI‐Spacing	6298	1844.61	-1770.69	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	5	1	15	1
ROI‐Spacing	6299	2380.07	4213.19	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	7	9	3	11	0
ROI‐Spacing	6300	604.337	40648.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	9	3	11	0
ROI‐Spacing	6301	2576.43	37601.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	7	9	2	11	0
ROI‐Spacing	6302	1169.61	12807.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	8	3	12	0
ROI‐Spacing	6303	623.821	34019.1	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	6	2	14	0
ROI‐Spacing	6304	386.702	-3939.08	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	7	4	13	1
ROI‐Spacing	6305	2215.27	32607.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	7	1	13	0
ROI‐Spacing	6306	1567.64	59462.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	6	7	1	13	0
ROI‐Spacing	6307	-2212.72	-37050.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	8	4	12	1
ROI‐Spacing	6308	-384.776	-23115.3	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	1
ROI‐Spacing	6309	786.611	-3674.44	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	6	1	14	1
ROI‐Spacing	6310	2454.18	-39274.5	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	6	3	14	1
ROI‐Spacing	6311	1449.69	-41799.8	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	1	2	2	18	1
ROI‐Spacing	6312	473.428	-38319.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	5	0	15	1
ROI‐Spacing	6313	275.715	-16852	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	5	7	2	13	1
ROI‐Spacing	6314	2810.04	14033.1	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	7	8	1	12	0
ROI‐Spacing	6315	995.521	-18622.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	4	5	1	15	1
ROI‐Spacing	6316	3096.74	60185.1	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	8	10	1	10	0
